Date,Open,High,Low,Close,Adj Close,Volume
2023-02-27,521.099976,529.799988,519.000000,527.700012,527.700012,11048799
2023-02-28,527.250000,528.450012,521.049988,522.799988,522.799988,15768010
2023-03-01,523.250000,537.400024,523.099976,536.700012,536.700012,13510198
2023-03-02,535.950012,539.900024,532.500000,533.750000,533.750000,10376913
2023-03-03,542.000000,564.299988,541.750000,561.200012,561.200012,27656538
2023-03-06,564.900024,567.900024,559.000000,561.700012,561.700012,16162268
2023-03-08,560.000000,565.500000,556.450012,564.799988,564.799988,12637578
2023-03-09,564.750000,565.750000,558.000000,558.900024,558.900024,8993423
2023-03-10,553.099976,554.950012,545.000000,547.349976,547.349976,11522371
2023-03-13,547.000000,553.150024,528.450012,530.000000,530.000000,14373729
2023-03-14,527.650024,532.799988,520.000000,525.400024,525.400024,14750800
2023-03-15,529.799988,532.000000,515.549988,517.549988,517.549988,11282329
2023-03-16,518.400024,529.349976,514.299988,524.500000,524.500000,20040008
2023-03-17,528.650024,531.599976,520.099976,529.799988,529.799988,18787379
2023-03-20,526.599976,526.599976,515.000000,519.200012,519.200012,14275315
2023-03-21,522.000000,523.450012,516.450012,521.849976,521.849976,29485180
2023-03-22,522.200012,527.000000,520.099976,521.549988,521.549988,11619538
2023-03-23,519.400024,521.000000,511.500000,512.750000,512.750000,22097792
2023-03-24,514.500000,514.950012,503.450012,505.350006,505.350006,14416984
2023-03-27,507.000000,514.150024,501.549988,510.149994,510.149994,15674218
2023-03-28,511.450012,511.750000,503.850006,508.100006,508.100006,15833599
2023-03-29,509.000000,518.000000,506.299988,516.500000,516.500000,24203789
2023-03-31,520.650024,524.900024,519.349976,523.750000,523.750000,17356345
2023-04-03,524.750000,528.500000,522.099976,526.750000,526.750000,14210949
2023-04-05,527.000000,527.599976,519.049988,523.000000,523.000000,13574801
2023-04-06,524.000000,533.700012,521.650024,527.650024,527.650024,25125879
2023-04-10,529.250000,530.400024,524.400024,526.299988,526.299988,17335453
2023-04-11,530.849976,535.700012,527.150024,532.099976,532.099976,26414406
2023-04-12,533.200012,534.000000,526.000000,528.200012,528.200012,21292441
2023-04-13,529.299988,534.250000,527.150024,532.950012,532.950012,28597560
2023-04-17,528.000000,545.000000,528.000000,544.000000,544.000000,32476990
2023-04-18,545.349976,548.500000,540.500000,545.849976,545.849976,22283456
2023-04-19,544.000000,547.500000,538.250000,540.299988,540.299988,21156372
2023-04-20,541.200012,545.450012,536.650024,544.799988,544.799988,25588577
2023-04-21,545.000000,546.400024,539.700012,543.150024,543.150024,22599418
2023-04-24,543.799988,555.549988,543.500000,554.599976,554.599976,23335611
2023-04-25,555.000000,567.900024,555.000000,561.799988,561.799988,38142390
2023-04-26,562.000000,567.000000,556.450012,566.349976,566.349976,23143882
2023-04-27,565.000000,567.400024,561.099976,564.750000,564.750000,17845169
2023-04-28,567.799988,580.450012,565.500000,578.299988,578.299988,16183423
2023-05-02,580.000000,580.849976,573.150024,575.299988,575.299988,13667511
2023-05-03,570.650024,575.000000,569.000000,570.500000,570.500000,9699527
2023-05-04,570.200012,580.799988,568.500000,580.000000,580.000000,12533761
2023-05-05,580.200012,588.250000,575.049988,576.500000,576.500000,18163461
2023-05-08,577.650024,587.599976,577.349976,583.599976,583.599976,12990869
2023-05-09,585.000000,586.450012,572.099976,573.500000,573.500000,18959065
2023-05-10,575.000000,575.000000,563.250000,572.200012,572.200012,18561315
2023-05-11,572.200012,580.000000,572.000000,573.450012,573.450012,16016715
2023-05-12,574.700012,580.750000,571.549988,578.150024,578.150024,11319335
2023-05-15,578.750000,584.000000,574.650024,581.900024,581.900024,11410243
2023-05-16,584.000000,590.400024,582.000000,586.299988,586.299988,22178229
2023-05-17,586.000000,590.500000,579.500000,586.299988,586.299988,23739774
2023-05-18,590.299988,593.900024,571.400024,574.200012,574.200012,45656620
2023-05-19,579.000000,586.250000,569.900024,575.150024,575.150024,42293962
2023-05-22,577.500000,580.299988,573.450012,577.150024,577.150024,21484049
2023-05-23,578.900024,583.700012,576.799988,581.599976,581.599976,16120548
2023-05-24,579.799988,585.250000,578.250000,582.700012,582.700012,17616658
2023-05-25,582.000000,582.900024,577.000000,581.250000,581.250000,16479436
